id;comment;user_id;article_id;status_id
1;payment Awesome Concrete Keyboard Health;5e3bbe1e-0dda-4146-acb3-de8792e8c57b;32ef383c-4bbd-4b79-a5ba-d7bc764d563b;25432
2;e-business Small Plastic Fish;dfcfc1ee-7caa-40f7-a087-20a6b0a12ae7;b9239f2d-5723-4b12-99a6-faf8e549fdc1;70176
3;Chips intermediate Open-architected;ab6254be-366b-48c5-b9bd-168dbaa1d10a;abb339e2-2b33-407f-97c9-72abc81dad99;60364
4;Ameliorated;082f9f74-c3c1-4496-9746-0d2e110c7913;580f7bf3-4568-4cb9-a0b0-a703707b7820;88817
5;Corporate digital;2ece853b-6443-4f12-9e85-ae93fa2c1447;f5dfbe0e-5308-424a-bab1-43b644899a8c;20002
6;Metal Supervisor Automotive;79f5f04a-9652-42dd-8947-322259531185;3b8801e2-f8a3-483b-8cfa-5988b006809a;38261
7;grid-enabled backing up;56349aff-3fde-41ea-910e-6f8b5046a316;5a58b8e9-e4c9-4dfb-9d5f-ab0ba0eed8e1;18096
8;Cambridgeshire;e5c24165-f81b-4bb2-9adb-12ed67094c60;5646c3d6-77a6-4c78-9f57-5fd68b44883f;28413
9;ADP Ball;02fc1e2b-3e13-4fd2-a373-4241f9b0030e;6e89fea7-831a-4a8a-9bc9-85bc6be72805;68625
10;synergistic vortals;704a352c-c013-448f-9af5-dd157c3216ba;34056a88-2a11-463e-8e52-7fd925a7a447;48492
