id;article_id;path;image_type;status_id
1;Cambridgeshire Interactions;Clothing Singapore Dollar indexing;78307;15931
2;utilisation;fuchsia AI;38923;98736
3;Harbors;dot-com;81112;1090
4;Legacy Credit Card Account fuchsia;methodologies Wooden;910;45500
5;Synergistic Auto Loan Account Alaska;port;62389;41821
6;interface hack;Producer;91365;48926
7;XSS port;AI system engine;98674;42422
8;Customer;Gourde US Dollar synergize optical;45945;51937
9;program flexibility Falkland Islands Pound;Cotton;57589;52759
10;Optimization FTP;Croatian Kuna Ergonomic;72001;61447
