id;start_date;end_date;language
1;2021-02-20T21:38:02;2021-02-20T19:28:17;SPANISH
2;2021-02-20T02:28:13;2021-02-20T21:32:38;SPANISH
3;2021-02-20T17:23:32;2021-02-20T03:57:41;FRENCH
4;2021-02-20T08:41:03;2021-02-20T20:12:29;FRENCH
5;2021-02-20T18:11:21;2021-02-20T22:58:20;FRENCH
6;2021-02-20T12:03:42;2021-02-21T00:11:56;FRENCH
7;2021-02-20T13:49:02;2021-02-20T07:39:53;FRENCH
8;2021-02-20T12:45:15;2021-02-20T23:01:23;SPANISH
9;2021-02-20T11:26:24;2021-02-20T08:07:47;SPANISH
10;2021-02-20T19:38:28;2021-02-20T06:12:58;SPANISH
