id;create_date;update_date;end_date;created_by;updated_by
1;2021-02-20;2021-02-20;2021-02-20;Customer Pine;Designer Solutions Cambridgeshire
2;2021-02-20;2021-02-20;2021-02-20;Arizona distributed;Svalbard & Jan Mayen Islands
3;2021-02-20;2021-02-20;2021-02-20;Fresh Intelligent Paradigm;Horizontal
4;2021-02-20;2021-02-20;2021-02-20;Russian Federation Tactics Massachusetts;encoding
5;2021-02-20;2021-02-21;2021-02-20;maximize RSS Money Market Account;tertiary Barbados Dollar
6;2021-02-20;2021-02-20;2021-02-20;feed SQL;3rd generation Marketing Graphical User Interface
7;2021-02-20;2021-02-20;2021-02-20;protocol;optical
8;2021-02-20;2021-02-20;2021-02-20;e-commerce;Qatari Rial Refined
9;2021-02-20;2021-02-20;2021-02-20;cyan Steel Refined Steel Chair;Investment Account granular
10;2021-02-20;2021-02-20;2021-02-20;Intelligent Rubber Cheese navigate;SDD invoice
